Date,Value
1977,100.83
1977,100.91
1977,100.74
1977,99.57
1977,100.85
1977,101.62
1977,99.05
1977,98.54
1977,97.49
1977,97.21
1977,100.94
1977,102.22
1977,104.33
1977,104.1
1977,103.57
1977,104.05
1977,103.94
1977,105.05
1978,101.66
1978,99.77
1978,100.63
1978,100.62
1978,102.22
1978,103.58
1978,102.25
1978,102.7
1978,101.95
1978,103.42
1978,104.94
1978,105.39
1978,106.2
1978,108.23
1978,111.29
1978,113.32
1978,115.18
1978,117.27
1978,119.4
1978,121.57
1978,119.86
1978,121.03
1978,124.41
1978,123.69
1978,120.74
1978,120.3
1978,119.16
1978,121.58
1978,123.6
1978,125.62
1978,129.71
1978,132
1978,134.71
1978,135.84
1978,135.35
1978,138.36
1978,137.36
1978,132.3
1978,132.89
1978,134
1978,135.58
1978,123.82
1978,115.25
1978,115.49
1978,114.84
1978,113.69
1978,116.17
1978,116.19
1978,118.77
1978,117.41
1978,116.93
1978,117.98
1979,122.05
1979,123.74
1979,124.65
1979,127.04
1979,125.82
1979,123.76
1979,125.57
1979,125.04
1979,123.67
1979,127.25
1979,128.55
1979,130.58
1979,131.76
1979,133.75
1979,133.54
1979,133.67
1979,134.37
1979,133.72
1979,129.69
1979,131.01
1979,132.68
1979,131.76
1979,134.96
1979,136.25
1979,137.24
1979,138.13
1979,138.64
1979,138.52
1979,137.98
1979,140.02
1979,142.63
1979,145.07
1979,147.84
1979,149.4
1979,150.44
1979,148.07
1979,150.56
1979,150.65
1979,149.98
1979,152.29
1979,140.71
1979,136.59
1979,133.75
1979,136.88
1979,135.86
1979,139.07
1979,139.85
1979,144.26
1979,147.49
1979,150.03
1979,150.17
1979,150.83
1980,148.02
1980,153.87
1980,156.14
1980,159.7
1980,162.3
1980,165.25
1980,162.56
1980,160.08
1980,158.03
1980,146.19
1980,144.44
1980,138.8
1980,129.25
1980,136.01
1980,137.75
1980,134.66
1980,137.92
1980,140.25
1980,143.06
1980,147.24
1980,149.48
1980,150.45
1980,152.68
1980,156.59
1980,156.51
1980,159.18
1980,160.87
1980,164.82
1980,169.99
1980,169.63
1980,172.49
1980,175.88
1980,179.89
1980,181.7
1980,181.52
1980,185.61
1980,189.58
1980,195.33
1980,190.77
1980,193.43
1980,197.79
1980,197.24
1980,196.17
1980,192.78
1980,193.51
1980,201.76
1980,206.07
1980,208.15
1980,203.02
1980,191.22
1980,197.91
1980,201.28
1981,203.55
1981,197.66
1981,201.13
1981,197.52
1981,197.81
1981,197.87
1981,193.89
1981,192.29
1981,198.01
1981,199.89
1981,202.17
1981,206.29
1981,208.82
1981,212.65
1981,215.15
1981,216.64
1981,219.56
1981,216.68
1981,214.84
1981,216.51
1981,219.23
1981,223.47
1981,221.3
1981,222.76
1981,219.56
1981,219.76
1981,212.8
1981,210.54
1981,212.76
1981,208
1981,211.63
1981,211.36
1981,212.12
1981,206.76
1981,197.55
1981,189.63
1981,189.81
1981,184.27
1981,175.12
1981,184.37
1981,191.27
1981,190.24
1981,191.91
1981,195.24
1981,199.97
1981,200.16
1981,198.6
1981,201.02
1981,200.88
1981,198.64
1981,197.01
1981,195.7
1981,195.84
1982,192.05
1982,187.32
1982,185.83
1982,188.39
1982,188.21
1982,182.52
1982,180.65
1982,179.43
1982,173.97
1982,168.23
1982,171.76
1982,175.2
1982,178.56
1982,181.15
1982,182.25
1982,184.93
1982,184.7
1982,188.13
1982,188.22
1982,182.4
1982,178.54
1982,174.82
1982,173.55
1982,168.5
1982,170.48
1982,170.05
1982,168.07
1982,170.18
1982,172.11
1982,167.35
1982,163.59
1982,159.14
1982,166.96
1982,177.6
1982,182.05
1982,182.47
1982,186.61
1982,188.61
1982,188.7
1982,198.89
1982,204.46
1982,215.29
1982,212.63
1982,227.03
1982,232.61
1982,229.41
1982,228.64
1982,237.16
1982,233.85
1982,228.93
1982,232.33
1982,232.41
1983,238.6
1983,245.63
1983,243.97
1983,246.93
1983,251.65
1983,256.64
1983,261.29
1983,262.44
1983,265.94
1983,266.18
1983,265.01
1983,270.89
1983,270.8
1983,268.1
1983,281.6
1983,288.55
