Date,Value
1977,872.31
1977,857.04
1977,856.81
1977,839.14
1977,847.11
1977,840.35
1977,821.64
1977,808.3
1977,822.68
1977,809.94
1977,845.89
1977,835.76
1977,844.42
1977,823.98
1977,815.23
1977,815.32
1977,829.87
1977,831.17
1978,793.49
1978,775.73
1978,776.94
1978,764.12
1978,770.96
1978,775.99
1978,752.69
1978,756.24
1978,747.31
1978,758.58
1978,768.71
1978,756.5
1978,757.36
1978,769.58
1978,795.13
1978,812.8
1978,837.32
1978,829.09
1978,840.7
1978,846.85
1978,831.69
1978,847.54
1978,859.23
1978,836.97
1978,823.02
1978,818.95
1978,812.46
1978,839.83
1978,833.42
1978,856.29
1978,888.43
1978,890.85
1978,896.83
1978,895.53
1978,879.33
1978,907.74
1978,878.55
1978,862.44
1978,865.82
1978,880.02
1978,897.09
1978,838.01
1978,806.05
1978,823.11
1978,807.09
1978,797.73
1978,810.12
1978,811.5
1978,811.85
1978,805.35
1978,808.47
1978,805.01
1979,830.73
1979,836.28
1979,837.49
1979,859.75
1979,834.63
1979,822.23
1979,827.01
1979,823.28
1979,815.75
1979,842.86
1979,852.82
1979,859.75
1979,862.18
1979,875.69
1979,870.5
1979,856.98
1979,856.64
1979,847.54
1979,830.56
1979,841.91
1979,836.28
1979,821.21
1979,835.15
1979,843.3
1979,849.1
1979,841.98
1979,846.16
1979,833.53
1979,828.07
1979,839.76
1979,846.16
1979,867.06
1979,883.36
1979,880.2
1979,887.63
1979,874.15
1979,879.1
1979,893.94
1979,878.58
1979,897.61
1979,838.99
1979,814.68
1979,809.3
1979,818.94
1979,806.48
1979,815.7
1979,811.77
1979,822.35
1979,833.19
1979,842.75
1979,838.91
1979,838.91
1980,828.84
1980,858.53
1980,867.15
1980,876.11
1980,881.48
1980,895.73
1980,884.98
1980,868.77
1980,863.14
1980,820.56
1980,811.69
1980,785.15
1980,777.65
1980,784.13
1980,791.55
1980,763.4
1980,803.58
1980,810.92
1980,805.8
1980,826.88
1980,854.1
1980,850.85
1980,861.52
1980,876.37
1980,869.71
1980,881.83
1980,888.91
1980,891.13
1980,923.98
1980,918.09
1980,931.48
1980,954.69
1980,966.72
1980,958.19
1980,932.59
1980,940.96
1980,936.52
1980,963.74
1980,940.1
1980,950.68
1980,950.68
1980,956.14
1980,943.6
1980,924.49
1980,932.42
1980,986.35
1980,989.93
1980,993.34
1980,956.23
1980,917.15
1980,937.2
1980,966.38
1981,972.78
1981,968.69
1981,973.29
1981,940.19
1981,947.27
1981,952.3
1981,931.57
1981,936.09
1981,974.58
1981,964.62
